G1,G4,G8,G2,G6,G9,G5,G3,G7
33,40,510,42,23,750,21,58,36
51,38,523,54,38,689,30,46,44
68,54,508,60,32,874,23,42,49
49,35,490,63,30,733,17,52,52
52,30,437,58,28,721,23,49,39
34,34,491,45,34,715,24,47,44
54,26,553,59,22,586,24,49,39
54,25,533,48,29,596,26,50,49
49,40,510,51,23,677,28,39,40
39,49,472,52,22,870,26,41,54
53,39,478,54,30,853,26,36,60
58,30,505,80,16,738,19,51,41
47,33,485,48,16,839,21,41,59
59,44,460,45,21,760,28,62,55
49,26,443,52,31,770,20,49,48
44,29,537,52,23,585,24,40,42
45,58,543,56,42,697,20,47,36
44,36,468,62,35,661,24,54,49
50,43,480,56,34,601,21,58,56
54,56,517,51,31,928,26,45,44
44,39,523,52,26,588,23,35,48
44,46,480,55,30,755,16,63,43
44,30,540,64,31,873,34,54,53
65,24,478,65,26,758,15,59,60
61,39,487,61,29,747,33,55,61
53,44,491,63,31,853,25,48,42
40,29,478,42,29,761,24,40,55
42,38,509,49,33,794,20,46,46
41,51,508,52,46,756,20,45,40
41,54,486,58,43,699,22,53,33
64,37,463,58,14,598,22,65,59
46,46,494,62,23,607,22,49,54
51,42,498,75,37,766,29,51,54
55,45,490,50,39,589,19,44,45
38,31,532,54,32,724,31,51,37
58,41,482,46,50,777,21,49,35
41,36,463,49,20,702,21,42,53
43,50,474,67,31,760,27,41,53
55,48,478,49,39,578,23,53,54
58,62,507,54,23,749,23,52,51
58,23,477,43,36,733,26,45,62
46,38,468,49,34,616,21,61,62
55,25,519,44,13,715,16,57,47
49,31,488,55,34,826,24,49,43
59,45,494,68,36,576,14,39,54
68,28,474,46,20,631,27,38,43
51,17,548,60,25,755,19,58,51
41,42,481,51,37,742,21,39,52
63,27,568,45,30,722,41,37,46
52,24,524,46,29,826,32,44,59
51,39,530,56,32,741,25,55,59
47,36,543,49,19,859,21,48,45
51,30,455,58,29,744,24,48,63
46,39,521,52,53,595,22,46,47
43,54,535,47,40,765,28,37,54
54,32,478,61,33,793,19,45,54
45,39,445,57,31,774,20,44,62
42,56,468,51,34,880,17,42,49
44,30,517,51,24,865,20,42,52
49,43,477,47,32,571,23,52,46
54,47,518,62,49,702,19,49,43
57,37,436,52,33,741,24,57,51
50,45,457,55,42,700,27,47,43
34,44,543,55,51,741,24,36,58
58,40,481,68,31,849,27,40,52
58,30,527,48,10,733,10,59,53
38,29,521,56,26,833,25,49,51
58,47,475,65,32,723,19,40,69
61,38,433,57,28,731,24,44,50
64,30,495,51,26,751,15,51,49
65,35,494,49,19,617,19,56,66
65,38,448,54,32,700,22,60,61
55,23,506,55,19,840,17,47,50
53,42,443,50,35,749,22,50,56
61,60,479,53,41,694,26,53,38
50,39,496,53,21,852,25,41,54
57,33,495,65,27,847,21,43,44
41,43,513,53,21,707,30,49,47
59,41,487,52,21,705,20,53,58
46,47,531,55,48,713,22,51,48
47,40,484,63,27,581,22,53,43
33,21,545,50,20,783,20,54,54
65,37,483,60,21,589,17,54,49
40,30,480,55,33,712,21,34,53
48,31,497,49,46,723,18,48,58
37,53,546,52,53,832,28,45,65
64,59,551,47,32,713,18,41,58
42,36,495,51,21,736,30,47,52
35,60,548,46,33,730,19,45,62
45,27,447,52,20,807,24,61,55
53,41,474,71,26,719,25,52,56
52,31,482,67,38,699,28,46,49
31,45,511,60,29,730,18,42,47
58,34,513,69,41,756,25,56,43
41,60,477,53,34,833,20,51,61
38,41,523,46,32,695,17,36,42
52,39,522,52,50,712,23,51,61
56,46,486,47,32,703,26,37,43
50,51,522,65,41,767,25,53,49
40,61,501,56,28,872,28,55,38
33,35,528,50,21,709,20,40,66
52,38,449,57,23,726,27,52,57
47,33,546,57,25,733,25,51,41
42,43,501,46,17,756,38,63,43
50,42,486,56,19,677,23,57,53
46,42,449,59,23,788,27,41,38
36,33,481,57,33,721,15,49,63
51,26,534,64,20,741,24,47,50
55,34,494,54,25,754,28,39,40
44,38,435,49,34,633,18,35,56
58,42,463,64,26,709,27,40,44
46,35,448,46,21,759,24,47,50
43,38,525,48,33,580,24,48,77
54,39,491,47,28,697,25,48,56
46,32,527,56,19,671,26,55,46
58,34,484,60,26,683,23,47,49
51,45,473,50,33,712,24,36,38
54,39,506,39,49,729,20,58,52
57,46,500,62,51,685,13,53,52
28,48,483,51,43,784,14,42,61
48,32,507,60,25,739,23,47,46
33,43,544,48,22,715,14,35,50
62,31,449,44,21,738,14,36,62
51,52,511,66,33,656,29,57,46
50,38,468,54,23,814,27,53,64
41,31,464,53,26,755,15,40,46
57,20,505,46,24,788,17,53,42
32,22,483,41,36,680,21,54,51
41,49,473,50,32,607,29,51,52
48,35,475,47,40,824,27,47,59
54,41,479,44,29,761,27,44,56
45,43,473,42,35,837,18,50,45
55,33,545,41,24,872,32,56,32
52,38,512,55,35,792,23,42,45
62,35,545,52,19,713,18,51,46
57,47,438,54,31,600,24,46,37
53,40,445,58,24,588,18,44,49
